#	English - EN	Spanish - ES	#Korean - KO	Chinese Simplified - ZH	#Chinese Traditional - ZH	#Japanese - JA	#Russian - RU	French - FR
#VERSION								
#								
LAUNCH_NOT_DETECTED	Launcher not detected...	Launcher no detectado...	버전 확인중...	新版检查中...	檢查版本...	バージョンを確認しています…	Лаунчер не обнаружен...	Vérification de la version...
PARTY_BOARD_PALLET_RULES_4	Certain Pokemon types are more effective against others.\nThe hierarchy goes as follows: Water -> Fire -> Grass -> Water.	Ciertos tipos de Pokémon son más efectivos contra otros.\nEl orden de efectividad es la siguiente: Agua -> Fuego -> Planta -> Agua.	포켓몬의 각 타입은 서로 상성이 있습니다.\n 상성은 다음과 같습니다 : 물 -> 불 -> 풀 ->물.	精灵属性存在克制关系。水系克制火系，火系克制草系，草系克制水系。	某些神奇寶貝屬性對其他屬性更有效。\n層次結構如下：水 -> 火 -> 草 -> 水。	ポケモンのタイプによっては、他のタイプに対して効果バツグンになる場合があります。\nタイプの相性は以下の通りです。：みずタイプ→ほのおタイプ→くさタイプ→みずタイプ	Эффективность Покемона зависит от типов Покемонов, что участвуют в битве. \nИерархия типов следующая: Вода -> Огонь -> Трава-> Вода.	Certains types de Pokémon sont plus efficaces contre d'autres. La hiérarchie est la suivante : Eau -> Feu -> Plante -> Eau.
PARTY_BOARD_PALLET_RULES_5	If you have a favorable Pokemon type, your chances of winning are 90%, if you have the same type it's 50%, otherwise it's 15%.	Si tienes un Pokémon de tipo favorable, tus chances de ganar son un 90%, si son del mismo tipo es un 50%, caso contrario las chances son 15%.	만약 상성이 좋은 포켓몬을 지니고 있다면, 승리할 확률이 매우 높습니다. 동일 타입끼리는 확률이 반반이고, 상성이 좋지 않다면 확률이 매우 낮습니다.	如果你的精灵拥有有利的属性，你获胜的概率是90%。如果你的精灵是相同属性，获胜概率是50%。如果你的精灵是不利的属性，你有85%的概率输掉。	如果你的神奇寶貝有有利的屬性，你獲勝的機會是90%。如果是相同屬性，則為 50%。如果是不利的屬性，就是15%。	ポケモンのタイプの相性がばつぐんだと90％、同じタイプだと50％、相性がいまひとつだと15％の確率で勝利することができます。	Если тип вашего Покемона выше по иерархии, то ваши шансы на победу 90%. Если типы Покемонов одинаковы, то шанс 50%. В ином случае шанс 15%.	Si vous avez un type de Pokémon favorable, vos chances de gagner sont de 90%. Si vous avez le même type, c'est 50%. Sinon, c'est 15%.
PARTY_BOARD_PALLET_RULES_6	Now go and become a real Pokemon trainer!	¡Ahora ve y conviértete en un genuino entrenador Pokémon!	자, 이제 포켓몬 마스터가 되어봅시다!	那么现在就出发成为真正的精灵训练家吧！	現在就去成為一名真正的神奇寶貝訓練師吧！	さぁ、出発して真のポケモントレーナーになりましょう！	Теперь же вперед, станьте настоящим Покетренером!	Maintenant, allez et devenez un véritable dresseur de Pokémon !
PARTY_BOARD_DREAMS_NAME	Lucid Dreams	Sueños Lúcidos	자각몽	梦中世界	夢中世界	ゆめにっき	Осознанные Сны	Rêves lucides
PARTY_BOARD_DREAMS_WELCOME	Welcome to your dreams! Is this how your dreams look like? That's LSD stuff right there.	¡Bienvenido a tus sueños! ¿Es así cómo se ven? Sí que tenemos material de LSD justo aquí.	여러분의 꿈속으로 들어오신것을 환영합니다! 이게 여러분의 꿈의 모습인가요? LSD라도 한 것 마냥 생겨먹었네요.	欢迎来到梦中世界！这里像你的梦境吗？那就是清醒梦的意思。	歡迎來到夢中世界！這就是你的夢想嗎？那是LSD的東西。	夢へようこそ！あなたの夢は  こんな感じ？幻覚みたい。	Добро пожаловать в ваши сны! Это так они выглядят? Вы будто под ЛСД.	Bienvenue dans vos rêves ! Est-ce à ça que ressemblent vos rêves ? C'est vraiment psychédélique.
PARTY_BOARD_DREAMS_RULES_1	Here you need to reach the Shine like usual. The difference is that there are some teleporters scattered throughout the Board.	Aquí solo necesitas alcanzar el Sol como lo es normalmente. La diferencia es que hay algunos teletransportadores esparcidos a lo largo del tablero.		在这里你像往常一样朝太阳前进。不同之处在于地图上散布着一些传送点。	在這裡您需要像往常一樣朝太陽前進。不同之處在於，一些傳送點分散在整個地圖上。	ここでは、いつものようにシャインにたどり着く必要があります。しかし、いつもと違うところがあります。それは、ボード全体にテレポーターがあることです。	Здесь вам нужно достать Шайни как обычно. Отличие лишь в том, что здесь разбросаны телепорты по всей доске.	Ici, vous devez atteindre le Soleil comme d'habitude. La différence, c'est qu'il y a des téléporteurs dispersés sur le plateau.
PARTY_BOARD_DREAMS_RULES_2	Every pair of teleporters are connected, you gotta remember where each one leads to!	Cada par de teletransportadores están conectados. ¡Tendrás que recordar hacia dónde lleva cuál!		每组传送点互相连接，你需要记住它们的对应关系。	每對傳送點都是相連的，你必須記住每一個傳送點通向哪裡！	テレポーターはそれぞれ特定の場所に繋がっているので、それぞれのテレポーターがどこにテレポートするかを覚えておく必要があります。	Каждая пара телепортов соединена между собой, вам нужно запомнить какой куда ведёт!	Les téléporteurs sont connectés par paires, vous devez vous rappeler où chacun mène !
PARTY_BOARD_HYRULE_NAME	Hyrule	Hyrule	하이랄	海拉尔	海拉爾	ハイラル平原	Хайрул	Hyrule
PARTY_BOARD_HYRULE_WELCOME	Welcome to Hyrule! In the peaceful Kakariko Village no less.	¡Bienvenido a Hyrule! Nada menos que en el pacífico Pueblo Kakariko.		欢迎来到海拉尔！还是在这个和平的卡卡利科村。	歡迎來到海拉爾！還是在寧靜的Kakariko村。	ハイラル平原へようこそ！ここは平和なカカリコ村です。	Добро пожаловать в Хайрул! Не хуже, чем в мирной Деревне Какарико.	Bienvenue à Hyrule ! Et qui plus est, dans le paisible village Cocorico.
PARTY_BOARD_HYRULE_RULES_1	This Board has a unique thing going on. It spawns three Shines instead of only one.\nSo what's the deal you say?	Este tablero tiene algo único. Aparecerán tres Soles en vez de uno solo.\n¿Entonces qué sucede con esto?		地图上有一些特殊的机制。这里会生成三个太阳而不是一个。\n你可能要问为什么？	這個地圖會有一個獨特的事情正在發生。它會生成三個太陽而不是一個。\n你可能會問為什麼？	このボードには独特な機能があります。シャインが1つだけ出るのではなく、3つ出現します。\nどういうことかって？	У этой доски есть уникальная черта. Тут появляется три Шайни заместо одной. \nТак в чём проблема, спросите вы?	Ce plateau a quelque chose d'unique. Il génère trois Soleils au lieu d'un seul. Alors quel est le problème ?
PARTY_BOARD_HYRULE_RULES_2	When a new turn starts, there's a chance the Board changes to the Dark World or back to the Light World.	Cuando un nuevo turno comience, hay una posibilidad de que el tablero cambie al Mundo de las Tinieblas o que regrese al Mundo de la Luz.		那是因为地图在每回合开始都有一定的概率切换黑暗和光明世界。	當新的回合開始時，地圖有可能變為黑暗世界或回到光明世界。	新しいターンが始まると、時々ボードがダークワールドになったり、ライトワールドになったりするんだ。	Когда начинается новый ход, есть шанс, что доска изменится на Мир Тьмы или назад на Мир Света.	Lorsqu'un nouveau tour commence, il y a une chance que le plateau bascule vers le Monde des Ténèbres ou revienne au Monde de la Lumière.
PARTY_BOARD_HYRULE_RULES_3	In the Light World everything works as you normally expect.	En el Mundo de la Luz todo funciona normalmente, nada del otro mundo.		在光明世界一切如常。	在光明世界中，一切都跟平常一樣。	ライトワールドでは、他のステージと違うところはありません。	В Мире Света всё работает как обычно.	Dans le Monde de la Lumière, tout fonctionne normalement.
PARTY_BOARD_HYRULE_RULES_4	In the Dark World all the Shines become Evil Shines. They take away one Shine from you if you have one, or {20 coins} if you don't.	En cambio en el Mundo de las Tinieblas, los Soles se convierten en Soles Malignos. Te quitarán un Sol o {20 coins} si no tienes uno.		在黑暗世界所有太阳都会变成邪恶太阳。它们在你有太阳的时候会抢走一个，在你没有的时候则抢走 {20 coins} 。	在黑暗世界中，所有的太陽都變成了邪惡太陽。如果您有太陽的話會拿走您的一顆太陽；如果沒有則會奪走您的 {20 coins}。	ダークワールドでは、全てのシャインが邪悪なシャインになります。もし取ってしまうとシャインを持っている場合は1個のシャインを、シャインを持っていない場合は{20 coins}が奪われます。	В Мире Тьмы все Шайни превращаются в Шайни Зла. Они забирают одну Шайни, если у тебя она есть, или {20 coins} если у тебя её нет.	Dans le Monde des Ténèbres, tous les Soleils deviennent des Soleils Sombres. Ils vous enlèvent un Soleil si vous en avez un, ou {20 coins} si ce n'est pas le cas.
PARTY_BOARD_HYRULE_RULES_5	So be careful and try to avoid them as much as you can!	¡Así que mantente alerta e intenta evitarlos a toda costa!		所以这时候要小心并尽量躲开它们！	所以要小心並儘量避免它們！	だから、目の前をよく見て、できるだけ避けるようにしましょう!	Так что будьте осторожнее и старайтесь избегать их как только можете!	Alors soyez prudents et essayez de les éviter autant que possible !
PARTY_BOARD_NSANITY_NAME	Outer N. Sanity	N. Sanidad Exterior		精神太空	精神太空	狂った宇宙空間	Внеземное Безумие	Cosmofolie
PARTY_BOARD_NSANITY_WELCOME	Welcome to the insanity! It's very interesting to be here in outer space.	¡Bienvenido a la locura! Es muy interesante estar aquí, en el espacio exterior.		欢迎来到混乱空间！有趣的是这里是外太空。	歡迎來到混亂空間！來到外太空非常有趣。	狂気の世界へようこそ！宇宙空間にいるなんてびっくり！	Добро пожаловать в безумие! Очень интересно быть здесь, в открытом космосе.	Bienvenue dans la folie ! Rien de plus incroyable que d'être ici dans le cosmos.
PARTY_BOARD_NSANITY_RULES_1	This is a linear Board, with only a single Shine. Your goal is to reach it fast!	Este es un tablero lineal con solo un único Sol. Tu meta será llegar a ella lo más rápido que puedas.		这是一个线性流程的地图，并且只有一个太阳。你需要尽快抵达那里！	這是一個線性流程的地圖，而且只有一個太陽。您需要盡快獲得太陽！	このマップは直線のボードで、シャインは一つだけです。目標は、できるだけ早くシャインに到達することです！	Это линейная доска с одним Шайни. Твоя цель - достать её быстро!	Ce plateau est linéaire, avec un seul Soleil. Votre objectif est d'y arriver rapidement !
PARTY_BOARD_NSANITY_RULES_2	Why fast you ask? Because everytime someone buys a Shine the total cost goes up by {5 coins}! Starting from {10 coins}.	¿Y por qué rápido? Porque cada vez que alguien consigue un Sol, el precio irá incrementando en {5 coins}. Iniciando desde {10 coins}.		你可能要问为什么？那是因为每当有人购买一个太阳的时候，其总价会上升 {5 coins} ！初始为 {10 coins} 。	你可能會問為什麼？ 因為每次有人購買太陽，總價會增加 {5 coins} ！從 {10 coins} 開始。	どうして早くしないといけないのかというと、このステージでは誰かがシャインを買うたびに、シャインの値段が{5 coins}ずつ上がってしまうからです！値段は{10 coins}から始まります。	Почему быстро, спросишь ты? Потому что каждый раз, когда кто-то покупает Шайни, стоимость поднимается на {5 coins}! Начиная с {10 coins}.	Pourquoi rapidement ? Parce qu'à chaque fois que quelqu'un achète un Soleil, le coût total augmente de {5 coins} ! On commence avec {10 coins}.
PARTY_BOARD_WORLD_NAME	Kid VS. The World	Kid VS. El Mundo	키드 VS. 더 월드	Kid对抗全世界	Kid對抗全世界	キッド VS. 世界	Кид против Мира	Kid contre le Monde
PARTY_BOARD_WORLD_WELCOME	Welcome to everyone versus the world!	¡Bienvenidos a todos contra el mundo!		欢迎各位世界之敌！	歡迎大家來對抗世界！	VS世界の皆さん、ようこそ！	Добро пожаловать во всё против мира	Bienvenue à tous pour affronter le monde 
PARTY_BOARD_WORLD_RULES_1	You gotta be careful! There's a spooky Ghost roaming around! When it reaches you or you reach it, it takes a Shine away!	¡Debes tener cuidado! ¡Hay un escalofriante Fantasma merodeando alrededor! Cuando él te alcanza o tú lo alcanzas, ¡Te arrebatará un Sol!		你需要小心！这里有一个恐怖的幽灵在四处游荡！当你和它遭遇的时候，它会抢走你的一个太阳！	你一定要小心！這裡有一隻詭異的幽靈在四處遊蕩！當它和你遭遇的時候，它就會搶走你的一個太陽！	このボードでは、ゴーストが周りを徘徊しています、注意してください！もしゴーストがあなたに近づいたり、あなたがゴーストに近づいたりすると、シャインを失ってしまいます!	Будьте осторожны! Здесь вокруг бродит страшный Призрак! Если он дойтёт до вас или вы до него, то он заберёт твой Шайни!	Soyez prudent ! Il y a un fantôme effrayant qui se promène ! S'il vous atteint, il vous vole un Soleil !
